Type,Price,Location,Bath,Area,Purpose,Bedrooms,Added,Precinct ,Main Features,,,
House,PKR1.53 Crore,"Bahria Town Karachi, Karachi, Sindh",3,235 Sq. Yd.,For Sale,3,3 hours ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,,,
,,,,,,,,,,,,
House,PKR2 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,3 hours ago,"Precinct 2,","Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR1.55 Crore,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,7 hours ago,Precinct 12,"Main FeaturesFlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsNearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR2.6 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,7 hours ago,Sports City,"Main FeaturesFlooringElectricity BackupRoomsBedrooms: 4Bathrooms: 4Drawing RoomDining RoomKitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsNearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR4.25 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,5,9 hours ago,"Precinct 1,",RoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby Places,,,
,,,,,,,,,,,,
House,PKR2.4 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,2 hours ago,"Precinct 2,","Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
House,PKR2.6 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,4,2 hours ago,Precinct 47,"Main FeaturesBuilt in year: 2024Parking Spaces: 2FlooringElectricity BackupFloors: 2RoomsBedrooms: 4Bathrooms: 5Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
House,PKR2.8 Crore,"Bahria Town Karachi, Karachi, Sindh",4,250 Sq. Yd.,For Sale,4,18 minutes ago,Not Found,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 4Bathrooms: 4Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
House,PKR1.45 Crore,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,3,1 hour ago,Precinct 12,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR1.96 Crore,"Bahria Town Karachi, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,3 hours ago,"Precinct 2,",RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,,,
,,,,,,,,,,,,
House,PKR2.35 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,3 hours ago,"Precinct 2,",RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,,,
,,,,,,,,,,,,
House,PKR1.75 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,3 hours ago,Precinct 27,RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,,,
,,,,,,,,,,,,
Flat,PKR1.95 Crore,"Bahria Town Karachi, Karachi, Sindh",3,250 Sq. Yd.,For Sale,3,8 minutes ago,Precinct 19,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store RoomsNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport Service,,,
,,,,,,,,,,,,
House,PKR2.22 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,9 minutes ago,Sports City,RoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Other Nearby Places,,,
,,,,,,,,,,,,
Flat,PKR47 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,61 Sq. Yd.,For Sale,1,10 minutes ago,Not Found,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1,,,
,,,,,,,,,,,,
Flat,PKR45 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,56 Sq. Yd.,For Sale,1,11 minutes ago,Not Found,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1,,,
,,,,,,,,,,,,
Flat,PKR75 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,12 minutes ago,Not Found,RoomsBedrooms: 2Bathrooms: 2,,,
,,,,,,,,,,,,
Flat,PKR75 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,13 minutes ago,Not Found,RoomsBedrooms: 2Bathrooms: 2Kitchens: 1,,,
,,,,,,,,,,,,
Flat,PKR53.76 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,57 Sq. Yd.,For Sale,1,14 minutes ago,"Precinct 8,","RoomsBedrooms: 1Bathrooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
Flat,PKR53.76 Lakh,"Bahria Town Karachi, Karachi, Sindh",1,57 Sq. Yd.,For Sale,1,14 minutes ago,"Precinct 8,","RoomsBedrooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.45 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,1 day ago,Precinct 11-A,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR86 Lakh,"Bahria Town Karachi, Karachi, Sindh",4,125 Sq. Yd.,For Sale,4,1 day ago,Precinct 12,"Main FeaturesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFurnishedRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
Flat,PKR1.08 Crore,"Bahria Town Karachi, Karachi, Sindh",2,114 Sq. Yd.,For Sale,2,1 day ago,Precinct 11-A,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 2Bathrooms: 2Kitchens: 1Store Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
House,PKR2.05 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,1 day ago,Sports City,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR2.95 Crore,"Bahria Town Karachi, Karachi, Sindh",5,272 Sq. Yd.,For Sale,5,1 day ago,"Precinct 1,","Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
Flat,PKR84.83 Lakh,PKR20 Lakh,PKR2.75 Lakh,18 Months,"Bahria Town Karachi, Karachi, Sindh",2,111 Sq. Yd.,For Sale,2,23 hours ago,Not Found,"Main FeaturesParking Spaces: 1RoomsBedrooms: 2Bathrooms: 2Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueHealthcare RecreationalJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledOther Facilities"
,,,,,,,,,,,,
House,PKR2.9 Crore,PKR1.25 Crore,PKR4.16 Lakh,24 Months,"Bahria Town Karachi, Karachi, Sindh",5,250 Sq. Yd.,For Sale,5,1 day ago,"Precinct 8,","Main FeaturesFlooringElectricity BackupRoomsBedrooms: 5Bathrooms: 5Servant Quarters: 1Kitchens: 2Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
,,,,,,,,,,,,
Flat,PKR91 Lakh,"Bahria Town Karachi, Karachi, Sindh",2,106 Sq. Yd.,For Sale,2,1 day ago,Precinct 10-A,"Main FeaturesFlooringElectricity BackupNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
House,PKR3.85 Crore,"Bahria Town Karachi, Karachi, Sindh",5,250 Sq. Yd.,For Sale,5,1 day ago,"Precinct 1,","Main FeaturesParking SpacesCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesRoomsBedrooms: 5Bathrooms: 5Servant QuartersKitchensStore RoomsOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
House,PKR1.3 Crore,PKR45 Lakh,PKR4.16 Lakh,18 Months,"Bahria Town Karachi, Karachi, Sindh",3,125 Sq. Yd.,For Sale,3,1 day ago,Precinct 27,"Main FeaturesFlooringElectricity BackupFloorsRoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Healthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities"
,,,,,,,,,,,,
House,PKR2.25 Crore,"Bahria Town Karachi, Karachi, Sindh",4,350 Sq. Yd.,For Sale,4,2 hours ago,Precinct 35,"Main FeaturesBuilt in year: 2022Parking Spaces: 2FlooringElectricity BackupFloors: 2Other Main FeaturesRoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",,,
,,,,,,,,,,,,
House,PKR1.73 Crore,"Bahria Town Karachi, Karachi, Sindh",4,235 Sq. Yd.,For Sale,4,2 hours ago,Precinct 27,"Main FeaturesBuilt in year: 2022Parking Spaces: 2FlooringElectricity BackupFloors: 2RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Dining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",,,
,,,,,,,,,,,,
House,PKR1.6 Crore,"Bahria Town Karachi, Karachi, Sindh",3,150 Sq. Yd.,For Sale,3,3 hours ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,,,
,,,,,,,,,,,,
House,PKR2.05 Crore,"Bahria Town Karachi, Karachi, Sindh",3,200 Sq. Yd.,For Sale,3,3 hours ago,Precinct 10-A,"Main FeaturesBuilt in year: 2021Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloors: 2Other Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymStore Rooms: 1Steam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",,,
,,,,,,,,,,,,
Flat,PKR1.25 Crore,"Bahria Town Karachi, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,4 hours ago,Not Found,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 2Bathrooms: 2Kitchens: 1Store Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",,,
,,,,,,,,,,,,
House,PKR1.7 Crore,"Bahria Town Karachi, Karachi, Sindh",3,152 Sq. Yd.,For Sale,3,6 hours ago,Precinct 11-A,Main FeaturesParking Spaces: 2FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Kitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport Service,,,
,,,,,,,,,,,,
