Type,Location,Bath,Purpose,Bedrooms,Added,Precinct ,Main Features,Total Area,Total Price
House,"Bahria Town, Karachi",3,For Sale,3,2 hours ago,"Precinct 2,","Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",200,24000000.0
House,"Bahria Town, Karachi",5,For Sale,4,2 hours ago,Precinct 47,"Main FeaturesBuilt in year: 2024Parking Spaces: 2FlooringElectricity BackupFloors: 2RoomsBedrooms: 4Bathrooms: 5Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",272,26000000.0
House,"Bahria Town, Karachi",4,For Sale,4,18 minutes ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 4Bathrooms: 4Drawing RoomDining RoomKitchens: 1Business and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",250,28000000.0
House,"Bahria Town, Karachi",4,For Sale,3,1 hour ago,Precinct 12,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 4Servant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",125,14500000.0
House,"Bahria Town, Karachi",3,For Sale,3,3 hours ago,"Precinct 2,",RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,150,19600000.0
House,"Bahria Town, Karachi",3,For Sale,3,3 hours ago,"Precinct 2,",RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,200,23500000.0
House,"Bahria Town, Karachi",3,For Sale,3,3 hours ago,Precinct 27,RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,200,17500000.0
Flat,"Bahria Town, Karachi",3,For Sale,3,8 minutes ago,Precinct 19,RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store RoomsNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport Service,250,19500000.0
House,"Bahria Town, Karachi",4,For Sale,4,9 minutes ago,Sports City,RoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Other Nearby Places,350,22200000.000000004
Flat,"Bahria Town, Karachi",1,For Sale,1,10 minutes ago,Bahria Town,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1,61,4700000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,11 minutes ago,Bahria Town,RoomsBedrooms: 1Bathrooms: 1Kitchens: 1,56,4500000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,12 minutes ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2,122,7500000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,13 minutes ago,Bahria Town,RoomsBedrooms: 2Bathrooms: 2Kitchens: 1,106,7500000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,14 minutes ago,"Precinct 8,","RoomsBedrooms: 1Bathrooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",57,5376000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,14 minutes ago,"Precinct 8,","RoomsBedrooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",57,5376000.0
House,"Bahria Town, Karachi",3,For Sale,3,1 day ago,Precinct 11-A,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",152,14500000.0
House,"Bahria Town, Karachi",4,For Sale,4,1 day ago,Precinct 12,"Main FeaturesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFurnishedRoomsDrawing RoomDining RoomStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",125,8600000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,1 day ago,Precinct 11-A,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 2Bathrooms: 2Kitchens: 1Store Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",114,10800000.0
House,"Bahria Town, Karachi",4,For Sale,4,1 day ago,Sports City,"Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",350,20500000.0
House,"Bahria Town, Karachi",5,For Sale,5,1 day ago,"Precinct 1,","Main FeaturesBuilt in year: 2022Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",272,29500000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,1 day ago,Precinct 10-A,"Main FeaturesFlooringElectricity BackupNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",106,9100000.0
House,"Bahria Town, Karachi",5,For Sale,5,1 day ago,"Precinct 1,","Main FeaturesParking SpacesCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorsOther Main FeaturesRoomsBedrooms: 5Bathrooms: 5Servant QuartersKitchensStore RoomsOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",250,38500000.0
House,"Bahria Town, Karachi",4,For Sale,4,2 hours ago,Precinct 35,"Main FeaturesBuilt in year: 2022Parking Spaces: 2FlooringElectricity BackupFloors: 2Other Main FeaturesRoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity Staff",350,22500000.0
House,"Bahria Town, Karachi",4,For Sale,4,2 hours ago,Precinct 27,"Main FeaturesBuilt in year: 2022Parking Spaces: 2FlooringElectricity BackupFloors: 2RoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Dining RoomKitchens: 1Powder Room Store Rooms: 1Lounge or Sitting RoomLaundry RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreHealthcare RecreationalLawn or GardenNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for Disabled",235,17300000.0
House,"Bahria Town, Karachi",3,For Sale,3,3 hours ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Servant QuartersDrawing RoomDining RoomKitchens: 1,150,16000000.0
House,"Bahria Town, Karachi",3,For Sale,3,3 hours ago,Precinct 10-A,"Main FeaturesBuilt in year: 2021Parking SpacesDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloors: 2Other Main FeaturesFurnishedRoomsBedrooms: 3Bathrooms: 3Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room GymStore Rooms: 1Steam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyIntercomOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalLawn or GardenSwimming PoolSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffFacilities for DisabledOther Facilities",200,20500000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,4 hours ago,Bahria Town,"Main FeaturesParking Spaces: 1FlooringElectricity BackupRoomsBedrooms: 2Bathrooms: 2Kitchens: 1Store Rooms: 1Community FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Pet Policy",122,12500000.0
House,"Bahria Town, Karachi",3,For Sale,3,6 hours ago,Precinct 11-A,Main FeaturesParking Spaces: 2FlooringElectricity BackupRoomsBedrooms: 3Bathrooms: 3Kitchens: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport Service,152,17000000.0
House,"Bahria Town, Karachi",4,For Sale,4,6 hours ago,Bahria Town,Main FeaturesParking Spaces: 2FlooringElectricity BackupRoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Kitchens: 1Store Rooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport Service,350,23500000.0
Flat,"Bahria Town, Karachi",1,For Sale,1,14 minutes ago,"Precinct 8,","RoomsBedrooms: 1Bathrooms: 1Nearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",57,5376000.0
House,"Bahria Town, Karachi",3,For Sale,3,27 minutes ago,Precinct 11-B,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,152,15000000.0
House,"Bahria Town, Karachi",3,For Sale,3,28 minutes ago,Precinct 27,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,235,16000000.0
House,"Bahria Town, Karachi",3,For Sale,3,28 minutes ago,Precinct 31,RoomsBedrooms: 3Bathrooms: 3Drawing RoomDining RoomKitchens: 2,235,15000000.0
House,"Bahria Town, Karachi",4,For Sale,4,29 minutes ago,Precinct 27,"Main FeaturesFlooringElectricity BackupWaste DisposalRoomsBedrooms: 4Bathrooms: 4Servant Quarters: 1Drawing RoomDining RoomBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyCommunity FeaturesCommunity Lawn or GardenCommunity GymFirst Aid or Medical CentreKids Play AreaMosqueHealthcare RecreationalLawn or GardenOther Facilities
Maintenance StaffSecurity Staff",235,18800000.0
Flat,"Bahria Town, Karachi",3,For Sale,3,1 day ago,Bahria Town,"Main FeaturesBuilt in year: 2022Parking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorFloors in BuildingElevatorsService Elevators in BuildingOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymStore RoomsSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet PolicyOther Facilities",250,16800000.0
Flat,"Bahria Town, Karachi",2,For Sale,2,1 day ago,Bahria Town,"Main FeaturesBuilt in year: 2022Parking SpacesLobby in BuildingDouble Glazed WindowsCentral Air ConditioningCentral HeatingFlooringElectricity BackupWaste DisposalFloorFloors in BuildingElevatorsService Elevators in BuildingOther Main FeaturesFurnishedRoomsBedroomsBathroomsServant QuartersDrawing RoomDining RoomKitchensStudy RoomPrayer RoomPowder Room GymSteam RoomLounge or Sitting RoomLaundry RoomOther RoomsBusiness and CommunicationBroadband Internet AccessSatellite or Cable TV ReadyBusiness Center or Media Room in BuildingConference Room in BuildingIntercomATM MachinesOther Business and Communication FacilitiesCommunity FeaturesCommunity Lawn or GardenCommunity Swimming PoolCommunity GymFirst Aid or Medical CentreDay Care CentreKids Play AreaBarbeque AreaMosqueCommunity CentreOther Community FacilitiesHealthcare RecreationalSaunaJacuzziOther Healthcare and Recreation FacilitiesNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsNearby RestaurantsDistance From Airport (kms)Nearby Public Transport ServiceOther Nearby PlacesOther Facilities
Maintenance StaffSecurity StaffLaundry or Dry Cleaning FacilityCommunal/Shared KitchenFacilities for DisabledPet PolicyOther Facilities",106,6500000.0
House,"Bahria Town, Karachi",2,For Sale,2,1 day ago,"Precinct 1,","RoomsBedrooms: 2Bathrooms: 2Servant Quarters: 1Drawing RoomDining RoomKitchens: 1Study RoomPrayer RoomPowder Room Store Rooms: 1Business and CommunicationBroadband Internet AccessIntercomNearby Locations and Other FacilitiesNearby SchoolsNearby HospitalsNearby Shopping MallsOther Facilities
Maintenance StaffSecurity Staff",274,41000000.0
